investorid,investorname,companyid
668,Holtzbrinck Ventures,232
669,Unternehmertum Venture Capital,232
670,General Atlantic,232
671,Benchmark,233
672,Bessemer Venture Partners,233
673,Artiman Ventures,234
674,Plug and Play Ventures,234
675,Anthos Capital,234
676,Sequoia Capital Israel,235
677,Scale Venture Partners,235
678,Commerce Ventures,235
679,ICONIQ Capital,236
680,OpenView Venture Partners,236
681,ConsenSys Ventures,237
682,Valar Ventures,237
683,PUC,237
684,Silversmith Capital Partners,238
685,Susquehanna Growth Equity,238
686,Tiger Global Management,238
687,Cambridge Innovation Capital,239
688,LGT Capital Partners,239
689,Escala Capital,239
690,Spectrum Equity,240
691,ICONIQ Capital,240
692,Grayhawk Capital,240
693,Iconiq Capital,241
694,Brookfield Asset Management,242
695,Blackstone,242
696,Data Collective,242
697,Balderton Capital,243
698,General Catalyst,243
699,Tiger Global Management,243
700,Uncork Capital,244
701,Threshold Ventures,244
702,Bloomberg Beta,244
703,Jackson Square Ventures,245
704,General Atlantic,245
705,Lightspeed Venture Partners,245
706,Lightspeed Venture Partners,246
707,Lead Edge Capital,246
708,Coatue Management,246
709,Coatue Management,247
710,Atlantic Food Labs,247
711,DST Global,247
712,Fabric Ventures,248
713,500 Global,248
714,Standard Crypto,248
715,Uniion Square Ventures,249
716,Tiger Global Management,249
717,Lightspeed Venture Capital,249
718,Tiger Global Management,250
719,Insight Partners,250
720,Jump Capital,250
721,Tiger Global Management,251
722,Sequoia Capital India,251
723,Ribbit Capital,251
724,Accel,252
725,Summit Partners,252
726,Google Ventures,252
727,83North,253
728,RiverPark Ventures,253
729,Pitango Venture Capital,253
730,Andreessen Horowitz,254
731,Blockchain Capital,254
732,Lux Capital,254
733,Coatue Management,255
734,BMO Capital,255
735,Schonfeld Strategic Advisors,255
736,Khosla Ventures,256
737,Thrive Capital,256
738,Y Combinator,256
739,Green Visor Capital,257
740,CRE Venture Capital,257
741,Greycroft,257
742,None,258
743,Bnk To The Future,259
744,Trammell Ventures,259
745,SBI Investment,259
746,Khosla Ventures,260
747,Grab,261
748,Tokopedia,261
749,Tokyo Century Corporation,261
750,Founders Fund,262
751,Quantum Energy Partners,262
752,Bedrock Capital,262
753,Monashees+,263
754,Andreessen Horowitz,263
755,QED Investors,263
756,Insight Partners,264
757,Sequoia Capital India,264
758,BEENEXT,264
759,Point72 Ventures,265
760,Route 66 Ventures,265
761,Accel,265
762,Mubadala Capital,266
763,Bond,266
764,Prosus Ventures,266
765,Tiger Global Management,267
766,Blue Lake Capital,267
767,ZhenFund,267
768,Highland Europe,268
769,Eurazeo,268
770,Canaan Partners,268
771,Sequoia Capital,269
772,Baillie Gifford & Co.,269
773,Google Ventures,269
774,Dell Technologies Capital,270
775,Pitango Venture Capital,270
776,Amadeus Capital Partners,270
777,Data Collective,271
778,Formation 8,271
779,General Catalyst Partners,271
780,Greylock Partners,272
781,capitalG,272
782,Y Combinator,272
783,SoftBank Group,304
784,CRV,304
785,Spark Capital,304
786,Institutional Venture Partners,273
787,New Enterprise Associates,273
788,Javelin Venture Partners,273
789,Makers Fund,274
